Loi,E,F,N
a::06.7110,"Verhulst, Jacobus","Verhulst, Jacobus","Verhulst, Jacobus"
a::06.7112,"Luchtmans, Samuel III & Johannes","Luchtmans, Samuel III & Johannes","Luchtmans, Samuel III & Johannes"
a::06.7117,"Sincerus, Hylarius [Fictitious printer]","Sincerus, Hylarius [Imprimeur fictif]","Sincerus, Hylarius [Fictieve drukker]"
a::06.7118,"Dujardin, Hubert","Dujardin, Hubert","Dujardin, Hubert"
a::06.7119,"Collaer, Antoine & Benoît le Francq","Collaer, Antoine & Benoît le Francq","Collaer, Antoine & Benoît le Francq"
a::06.7120,"Boubers, de, Claude Denis René","Boubers, de, Claude Denis René","Boubers, de, Claude Denis René"
a::06.7126,"Zangre, de, Theodorus C.J.","Zangre, de, Theodorus C.J.","Zangre, de, Theodorus C.J."
a::06.7128,"Brunel, Pierre","Brunel, Pierre","Brunel, Pierre"
a::06.7136,"Jodocus, Petrus","Jodocus, Petrus","Jodocus, Petrus"
a::06.7138,"Valerius, Stephanus","Valerius, Stephanus","Valerius, Stephanus"
a::06.7140,Impartial press [Fictitious printer],Imprimerie impartiale [Imprimeur fictif],Onpartijdige drukkerij [Fictieve drukker]
a::06.7141,"Spilsbury, Thomas","Spilsbury, Thomas","Spilsbury, Thomas"
a::06.7145,"Claudinot, Antoine [Widow]","Claudinot, Antoine [Veuve]","Claudinot, Antoine [Weduwe]"
a::06.7146,"Meurs, van, Jacobus [Widow]","Meurs, van, Jacobus [Veuve]","Meurs, van, Jacobus [Weduwe]"
a::06.7147,"Tellier, le, Jacobus Henricus [Widow]","Tellier, le, Jacobus Henricus [Veuwe]","Tellier, le, Jacobus Henricus [Weduwe]"
a::06.7148,"Meersche, van der, Pieter","Meersche, van der, Pieter","Meersche, van der, Pieter"
a::06.7150,"Silvius, Charles","Silvius, Charles","Silvius, Charles"
a::06.7151,"Stéven, André Benoit [Widow]","Stéven, André Benoit [Veuve]","Stéven, André Benoit [Weduwe]"
a::06.7152,"Gilliet, Jan","Gilliet, Jan","Gilliet, Jan"
a::06.7153,"Wouwere, van den, Claes","Wouwere, van den, Claes","Wouwere, van den, Claes"
a::06.7154,"Cort, de, Josephus","Cort, de, Josephus","Cort, de, Josephus"
a::06.7155,"Clerinx, D.","Clerinx, D.","Clerinx, D."
a::06.7163,Press of the associates [Fictitious printer],Imprimerie des associés [Imprimeur fictif],Drukkerij van de geassocieerden [Fictieve drukker]
a::06.7164,"Duvivier, Joseph-Hippolyte","Duvivier, Joseph-Hippolyte","Duvivier, Joseph-Hippolyte"
a::06.7165,Royal press of the king of heaven [Fictitious printer],Imprimerie royale du roi du ciel [Imprimeur fictif],Koninklijke drukkerij van de koning van de hemel [Fictieve drukker]
a::06.7166,Society of the dispassionate [Fictitious printer],Société des impartiaux [Imprimeur fictif],Vereniging der onpartijdigen [Fictieve drukker]
a::06.7168,National institute [Fictitious printer],Institut national [Imprimeur fictif],Nationaal instituut [Fictieve drukker]
a::06.7169,"Moor, de, Cornelis I & Cornelis II de Moor","Moor, de, Cornelis I & Cornelis II de Moor","Moor, de, Cornelis I & Cornelis II de Moor"
a::06.7170,Former rebellious committee [Fictitious printer],Defunt comité insurgent [Imprimeur fictif],Voormalig opstandig comité [Fictieve drukker]
a::06.7171,"Desenne, Victor","Desenne, Victor","Desenne, Victor"
a::06.7172,"Moretus, Franciscus Joannes [Sons]","Moretus, Franciscus Joannes [Fils]","Moretus, Franciscus Joannes [Zonen]"
a::06.7178,"Linguet, Simon Nicolas Henri","Linguet, Simon Nicolas Henri","Linguet, Simon Nicolas Henri"
a::06.7180,"Kerkman, Jan [Fictitious printer]","Kerkman, Jan [Imprimeur fictif]","Kerkman, Jan [Fictieve drukker]"
a::06.7185,Wagrez,Wagrez,Wagrez
a::06.7186,Bolle,Bolle,Bolle
a::06.7188,Associated librarians,Libraires associés,Geassocieerde boekverkopers
a::06.7189,"Gulpen, van, Nicolaas","Gulpen, van, Nicolaas","Gulpen, van, Nicolaas"
a::06.7191,"Calewaert, Pieter","Calewaert, Pieter","Calewaert, Pieter"
a::06.7193,"Plantin, Christopher & Philip Galle","Plantin, Christophe & Philippe Galle","Plantijn, Christophorus & Filips Galle"
a::06.7194,"Caju, du, Jacobus Joannes [Widow]","Caju, du, Jacobus Joannes [Veuve]","Caju, du, Jacobus Joannes [Weduwe]"
a::06.7195,"Somers, Servais","Somers, Servais","Somers, Servais"
a::06.7197,"Beernaerts, Joannes","Beernaerts, Joannes","Beernaerts, Joannes"
a::06.7198,"Maire, le, Emmanuel","Maire, le, Emmanuel","Maire, le, Emmanuel"
a::06.7202,"Gowthmen, N. [Fictitious printer]","Gowthmen, N. [Imprimeur fictif]","Gowthmen, N. [Fictieve drukker]"
a::06.7205,"Rische, de, Mattheus","Rische, de, Mattheus","Rische, de, Mattheus"
a::06.7225,"Bevernaege, Dominic John","Bevernaege, Dominique Jean","Bevernaege, Dominicus-Joannes"
a::06.7226,"Cocquyt, Peter Francis","Cocquyt, Pierre François","Cocquyt, Petrus Franciscus"
a::06.7227,"Moreel, Andreas [Widow]","Moreel, André [Veuve]","Moreel, Andreas [Weduwe]"
a::06.7228,"Vereecken, Petrus Joannes II","Vereecken, Pierre Jean II","Vereecken, Petrus Joannes II"
a::06.7229,"Caju, du, Jacobus Judocus","Caju, du, Jacobus Judocus","Caju, du, Jacobus Judocus"
a::06.7230,"Roels, Jacob","Roels, Jacob","Roels, Jacob"
a::06.7231,"Hoogstraten, van, François","Hoogstraten, van, François","Hoogstraten, van, François"
a::06.7232,"Vincent, Philippus-Josephus I [Widow]","Vincent, Philippe-Joseph I [Veuve]","Vincent, Philippus-Josephus I [Weduwe]"
a::06.7233,"Metelen, van, Lucas","Metelen, van, Lucas","Metelen, van, Lucas"
a::06.7235,"Smaelen-Moerman, John Baptist","Smaelen-Moerman, Jean Baptiste","Smaelen-Moerman, Jan Baptist"
a::06.7241,"Beernaerts, Joannes [Widow]","Beernaerts, Joannes [Veuve]","Beernaerts, Joannes [Weduwe]"
a::06.7242,"Cawe, Guillielmus [Widow]","Cawe, Guillielmus [Veuve]","Cawe, Guillielmus [Weduwe]"
a::06.7243,"Sweerman, Gerrit","Sweerman, Gerrit","Sweerman, Gerrit"
a::06.7244,"Verdussen, Hieronymus I & Hieronymus II Verdussen","Verdussen, Hieronymus I & Hieronymus II Verdussen","Verdussen, Hieronymus I & Hieronymus II Verdussen"
a::06.7250,"Simmes, Valentine","Simmes, Valentine","Simmes, Valentine"
a::06.7252,"Gimblet, Jan [Widow]","Gimblet, Jean [Veuve]","Gimblet, Jan [Weduwe]"
a::06.7253,"Robustel, Charles I","Robustel, Charles I","Robustel, Charles I"
a::06.7254,"Andenne, d', Jean","Andenne, d', Jean","Andenne, d', Jean"
a::06.7256,"Demuynck, F. [Widow]","Demuynck, F. [Veuve]","Demuynck, F. [Weduwe]"
a::06.7258,"Kimpe, Joannes Franciscus","Kimpe, Jean François","Kimpe, Joannes Franciscus"
a::06.7259,"Bevernaege, Dominicus-Joannes [Widow and sons]","Bevernaege, Dominicus-Joannes [Veuve et fils]","Bevernaege, Dominicus-Joannes [Weduwe en zonen]"
a::06.7260,"Bogaert-de Clercq, François-Jacques","Bogaert-de Clercq, François-Jacques","Bogaert-de Clercq, François-Jacques"
a::06.7261,"Vryenborch, Jan & Germanus Sassenus","Vryenborch, Jan & Germanus Sassenus","Vryenborch, Jan & Germanus Sassenus"
a::06.7262,"Remondini, Giovanni Battista","Remondini, Giovanni Battista","Remondini, Giovanni Battista"
a::06.7264,"Gasbeck, Jean [Fictitious printer]","Gasbeck, Jean [Imprimeur fictif]","Gasbeck, Jean [Fictieve drukker]"
a::06.7266,"Marchant, Lambert I","Marchant, Lambert I","Marchant, Lambert I"
a::06.7267,"Baeren, vander, Nicolas [Fictitious printer]","Baeren, vander, Nicolas [Imprimeur fictif]","Baeren, vander, Nicolas [Fictieve drukker]"
a::06.7273,"Keysere, de, Arend","Keysere, de, Arend","Keysere, de, Arend"
a::06.7274,"Zangrius, Petrus II & Petrus Sassenus","Zangrius, Petrus II & Petrus Sassenus","Zangrius, Petrus II & Petrus Sassenus"
a::06.7280,"Tavernier, Ameet I","Tavernier, Ameet I","Tavernier, Ameet I"
a::06.7293,"Coustelier, Antoine-Urbain II","Coustelier, Antoine-Urbain II","Coustelier, Antoine-Urbain II"
a::06.7294,"Cuissart, Léonard","Cuissart, Léonard","Cuissart, Léonard"
a::06.7297,"Kelly, Ignatius","Kelly, Ignatius","Kelly, Ignatius"
a::06.7299,"Sutor, Cornelius","Sutor, Cornelius","Sutor, Cornelius"
a::06.7305,"Aerde, van, Jacobus","Aerde, van, Jacobus","Aerde, van, Jacobus"
a::06.7314,"Beernink, Jan","Beernink, Jan","Beernink, Jan"
a::06.7315,"Moor, de, Cornelis I [Widow and son]","Moor, de, Cornelis I [Veuve et fils]","Moor, de, Cornelis I [Weduwe en zoon]"
a::06.7320,"Aaltsz, Jan","Aaltsz, Jan","Aaltsz, Jan"
a::06.7321,"Altorffer, Johan Coenraad","Altorffer, Johan Coenraad","Altorffer, Johan Coenraad"
a::06.7322,"Wolsschaten, van, Geeraerdt II [Widow and heirs]","Wolsschaten, van, Geeraerdt II [Veuve et héritiers]","Wolsschaten, van, Geeraerdt II [Weduwe en erfgenamen]"
a::06.7323,"Colier, Adrien","Colier, Adrien","Colier, Adrien"
a::06.7324,"Muguet, François","Muguet, François","Muguet, François"
a::06.7335,Patriotic press,Imprimerie patriotique,Patriottische drukkerij
a::06.7345,"Pangartius, Petrus","Pangartius, Petrus","Pangartius, Petrus"
a::06.7366,"Haeghen, van der, Anthonis","Haeghen, van der, Anthonis","Haeghen, van der, Anthonis"
a::06.7369,"Lambrecht, Joos","Lambrecht, Joos","Lambrecht, Joos"
a::06.7375,"Steene, van den, Jan II","Steene, van den, Jan II","Steene, van den, Jan II"
a::06.7376,"Meyer, Jan [Widow]","Meyer, Jan [Veuve]","Meyer, Jan [Weduwe]"
a::06.7382,"Venen, van der, Balthazar","Venen, van der, Balthazar","Venen, van der, Balthazar"
a::06.7383,"Loots, Johannes","Loots, Johannes","Loots, Johannes"
a::06.7387,"Rossum, van, Laurent Joseph","Rossum, van, Laurent Joseph","Rossum, van, Laurent Joseph"
a::06.7393,Imprimerie de la confrairie,Imprimerie de la confrairie,Imprimerie de la confrairie
a::06.7429,"Waesberge, van, Jan II","Waesberge, van, Jan II","Waesberge, van, Jan II"
a::06.7464,"Wouters, Hendrik","Wouters, Hendrik","Wouters, Hendrik"
a::06.7525,"Prault, Laurent-François I","Prault, Laurent-François I","Prault, Laurent-François I"
a::06.7530,"Hillenius Hoochstratanus, Joannes","Hillenius Hoochstratanus, Joannes","Hillenius Hoochstratanus, Joannes"
a::06.7534,"Ruremund, van, Christoffel","Ruremund, van, Christoffel","Ruremund, van, Christoffel"
a::06.7538,"Twonson, Nicolas [Fictitious printer]","Twonson, Nicolas [Imprimeur fictif]","Twonson, Nicolas [Fictieve drukker]"
a::06.7543,"Tournes, de [Brothers]","Tournes, de [Frères]","Tournes, de [Gebroeders]"
a::06.7573,"Censeur, le, Jacques","Censeur, le, Jacques","Censeur, le, Jacques"
a::06.7599,"Hacquebaut, George","Hacquebaut, George","Hacquebaut, Joris"
a::06.7614,"Geyrst, Judocus","Geyrst, Judocus","Geyrst, Judocus"
a::06.7648,"Richard, Jean","Richard, Jean","Richard, Jean"
a::06.7669,"Boscard, Jacques","Boscard, Jacques","Boscard, Jacques"
a::06.7675,"Mommaert, Gaspar","Mommaert, Gaspar","Mommaert, Gaspar"
a::06.7685,"Morenus, Baldassar [Fictitious printer]","Morenus, Baldassar [Imprimeur fictif]","Morenus, Baldassar [Fictieve drukker]"
a::06.7719,"Birckman, Frans","Birckman, Frans","Birckman, Frans"
a::06.7750,"Paep, de, Judocus","Paep, de, Judocus","Paep, de, Judocus"
a::06.7795,"Volden, van, Antoine","Volden, van, Antoine","Volden, van, Anthonis"
a::06.7836,"Clercq, de, Charles","Clercq, de, Charles","Clercq, de, Karel"
a::06.7838,"Kerchove, van den, Lucas [Widow]","Kerchove, van den, Lucas [Veuve]","Kerchove, van den, Lucas [Weduwe]"
a::06.7845,"Clouwet, Maximiliaen","Clouwet, Maximiliaen","Clouwet, Maximiliaen"
a::06.7846,"Parijs, Joannes","Parijs, Joannes","Parijs, Joannes"
a::06.7854,"Cock, de, Joannes","Cock, de, Joannes","Cock, de, Joannes"
a::06.7878,"Busscher, de, Jozef & son","Busscher, de, Jozef & fils","Busscher, de, Jozef & zoon"
a::06.7915,"Buggenhout, van, Joannes","Buggenhout, van, Joannes","Buggenhout, van, Joannes"
a::06.7916,"Dufour, Jean-Edme","Dufour, Jean-Edme","Dufour, Jean-Edme"
a::06.7917,"Lier, van, Barent","Lier, van, Barent","Lier, van, Barent"
a::06.7918,"Wyon, Marc","Wyon, Marc","Wyon, Marc"
a::06.7919,"Desbordes, Henri","Desbordes, Henri","Desbordes, Henri"
a::06.7958,"Lacroix, Macarius","Lacroix, Macarius","Lacroix, Macarius"
a::06.7959,"Lacroix, Macarius [Widow]","Lacroix, Macarius [Veuve]","Lacroix, Macarius [Weduwe]"
a::06.7966,"Verhulst, Jan Baptist [Widow]","Verhulst, Jan Baptist [Veuve]","Verhulst, Jan Baptist [Weduwe]"
a::06.7968,"Moerman, Joannes Franciscus [Widow]","Moerman, Jean François [Veuve]","Moerman, Joannes Franciscus [Weduwe]"
a::06.7969,"Laurenz, Joannes Octavius","Laurenz, Jean Octave","Laurenz, Joannes Octavius"
a::06.7972,"Praet, van, Jozef & Jozef de Busscher","Praet, van, Jozef & Jozef de Busscher","Praet, van, Jozef & Jozef de Busscher"
a::06.7978,"Beernaerts, Jacobus II & Franciscus","Beernaerts, Jacobus II & Franciscus","Beernaerts, Jacobus II & Franciscus"
a::06.7979,"Parrain, Peter","Parrain, Pierre","Parrain, Pieter"
a::06.7986,"Roose, Paulus II","Roose, Paulus II","Roose, Paulus II"
a::06.7993,"Fiévet, François","Fiévet, François","Fiévet, François"
a::06.7995,"Dugard, William & Henry Hills","Dugard, William & Henry Hills","Dugard, William & Henry Hills"
a::06.8028,"Haeghen, van der, Govaert","Haeghen, van der, Govaert","Haeghen, van der, Govaert"
a::06.8041,"Praet, van, Jozef [Widow and son]","Praet, van, Jozef [Veuve et fils]","Praet, van, Jozef [Weduwe en zoon]"
a::06.8050,"Gleditsch, Johann Friedrich I & son","Gleditsch, Johann Friedrich I & fils","Gleditsch, Johann Friedrich I & zoon"
a::06.8052,"Clerck, de, Pieter","Clerck, de, Pieter","Clerck, de, Pieter"
a::06.8062,"Vermeulen, Simon","Vermeulen, Simon","Vermeulen, Simon"
a::06.8063,"Wydts, Andreas & Wydts, Joannes","Wydts, Andreas & Wydts, Joannes","Wydts, Andreas & Wydts, Joannes"
a::06.8077,"Borculo, van, Hendrick II","Borculo, van, Hendrick II","Borculo, van, Hendrick II"
a::06.8078,"Lucas, Joannes Franciscus [Widow]","Lucas, Joannes Franciscus [Veuve]","Lucas, Joannes Franciscus [Weduwe]"
a::06.8079,"Moerman, Thomas","Moerman, Thomas","Moerman, Thomas"
a::06.8080,"Sickes, Gerrit","Sickes, Gerrit","Sickes, Gerrit"
a::06.8083,"Clerck, de, Lieven","Clerck, de, Lieven","Clerck, de, Lieven"
a::06.8088,"Macqué, Jean-Baptiste I","Macqué, Jean-Baptiste I","Macqué, Joannes Baptista I"
a::06.8089,"Jansseune, Antoon","Jansseune, Antoine","Jansseune, Antoon"
a::06.8090,"Genuwe, van, Jan","Genuwe, van, Jean","Genuwe, van, Jan"
a::06.8100,"Clouwet, Maximiliaen [Widow and heirs]","Clouwet, Maximiliaen [Veuve et héritiers]","Clouwet, Maximiliaen [Weduwe en erfgenamen]"
a::06.8104,"Meulen, vander, Martin","Meulen, vander, Martin","Meulen, vander, Martinus"
a::06.8105,"Soolmans, Niclaes","Soolmans, Niclaes","Soolmans, Niclaes"
a::06.8113,taciturn press [Fictitious printer],presse taciturne [Imprimeur fictif],stilzwijgende drukkerij [Fictieve drukker]
a::06.8114,"Busscher-Marlier, de, Willem","Busscher-Marlier, de, Guillaume","Busscher-Marlier, de, Willem"
a::06.8120,"Leporarius, Henricus [Fictitious printer]","Leporarius, Henricus [Imprimeur fictif]","Leporarius, Henricus [Fictieve drukker]"
a::06.8125,"Coecke van Aelst, Pieter [Widow]","Coecke van Aelst, Pieter [Veuve]","Coecke van Aelst, Pieter [Weduwe]"
a::06.8126,"Coecke van Aelst, Pieter","Coecke van Aelst, Pieter","Coecke van Aelst, Pieter"
a::06.8128,"Phalesius, Petrus I & Martinus Rotarius","Phalesius, Petrus I & Martinus Rotarius","Phalesius, Petrus I & Martinus Rotarius"
a::06.8129,"Keysere, de, Pieter","Keysere, de, Pieter","Keysere, de, Pieter"
a::06.8135,"Vincent, Philippus-Josephus I [Widow and son]","Vincent, Philippus-Josephus I [Veuve et fils]","Vincent, Philippus-Josephus I [Weduwe en zoon]"
a::06.8140,Kunstminnende ijveraars van de Helicon [Fictitious printer],Kunstminnende ijveraars van de Helicon [Imprimeur fictif],Kunstminnende ijveraars van de Helicon [Fictieve drukker]
a::06.8145,"Ruremund, van, Hans I","Ruremund, van, Hans I","Ruremund, van, Hans I"
a::06.8149,"Birckman, Arnold I","Birckman, Arnold I","Birckman, Arnold I"
a::06.8156,"Bonte, de, Gregorius","Bonte, de, Gregorius","Bonte, de, Gregorius"
a::06.8165,"Fruyterus, Gaspar [Fictitious printer]","Fruyterus, Gaspar [Imprimeur fictif]","Fruyterus, Gaspar [Fictieve drukker]"
a::06.8166,"Defender, the, Baldwin [Fictitious printer]","Défendeur, le, Baudouin [Imprimeur fictif]","Verdediger, den, Boudewyn [Fictieve drukker]"
a::06.8167,"Janssens, Balduinus","Janssens, Balduinus","Janssens, Balduinus"
a::06.8169,Gemma Frisius & Gregorius de Bonte,Gemma Frisius & Gregorius de Bonte,Gemma Frisius & Gregorius de Bonte
a::06.8170,"Bollaert, Roland","Bollaert, Roland","Bollaert, Roland"
a::06.8175,"Crom, Matthias","Crom, Matthias","Crom, Matthias"
a::06.8181,"Beernaerts, Jacobus I [Widow]","Beernaerts, Jacobus I [Veuve]","Beernaerts, Jacobus I [Weduwe]"
a::06.8187,"Muyter, de, Joseph","Muyter, de, Joseph","Muyter, de, Joseph"
a::06.8190,"Gymnicus, Joannes","Gymnicus, Joannes","Gymnicus, Joannes"
a::06.8197,"Ghelen, van, Jan I","Ghelen, van, Jan I","Ghelen, van, Jan I"
a::06.8198,"Dullé, Jean Baptiste","Dullé, Jean Baptiste","Dullé, Jean Baptiste"
a::06.8199,"Dronkers, Wauters [Fictitious printer]","Dronkers, Wauters [Imprimeur fictif]","Dronkers, Wauters [Fictieve drukker]"
a::06.8200,"Vyghe, Joseph Leopold Francis [Fictitious printer]","Vyghe, Joseph Leopold Francis [Imprimeur fictif]","Vyghe, Joseph Leopold Francis [Fictieve drukker]"
a::06.8201,"Vyge, Sincerus [Fictitious printer]","Vyge, Sincerus [Imprimeur fictif]","Vyge, Sincerus [Fictieve drukker]"
a::06.8204,"Nutius, Martinus II & Jan I van Keerbergen","Nutius, Martinus II & Jan I van Keerbergen","Nutius, Martinus II & Jan I van Keerbergen"
a::06.8215,"Lucas, Joannes Franciscus","Lucas, Jean François","Lucas, Joannes Franciscus"
a::06.8221,"Verdussen, Hieronymus [Fictitious printer]","Verdussen, Hieronymus [Imprimeur fictif]","Verdussen, Hieronymus [Fictieve drukker]"
a::06.8222,"Laurensz, Hendrick","Laurensz, Hendrick","Laurensz, Hendrick"
a::06.8236,"Verwithagen, Jan I [Widow]","Verwithagen, Jan I [Veuve]","Verwithagen, Jan I [Weduwe]"
a::06.8237,"Claeszoon, Cornelis","Claeszoon, Cornelis","Claeszoon, Cornelis"
a::06.8245,"t'Servrancx, Emmanuel-Antoine","t'Servrancx, Emmanuel-Antoine","t'Servrancx, Emmanuel-Antoine"
a::06.8258,"Brunello, Oliverio","Brunello, Oliverio","Brunello, Oliverio"
a::06.8260,"Potgieter, Karel","Potgieter, Karel","Potgieter, Karel"
a::06.8264,"Kerckhove, van de, Petrus","Kerckhove, van de, Petrus","Kerckhove, van de, Petrus"
a::06.8266,Walwein [Brothers],Walwein [Frères],Walwein [Gebroeders]
a::06.8275,"Peetersen van Middelburch, Heyndrick [Widow]","Peetersen van Middelburch, Heyndrick [Veuve]","Peetersen van Middelburch, Heyndrick [Weduwe]"
a::06.8285,"Thibault, Jan","Thibault, Jan","Thibault, Jan"
a::06.8286,"Tetroode, van, Fredericus Johannes","Tetroode, van, Fredericus Johannes","Tetroode, van, Fredericus Johannes"
a::06.8287,"Roye, van, Mattheus","Roye, van, Mattheus","Roye, van, Mattheus"
a::06.8288,"Bincken, Guilielmus Josephus","Bincken, Guilielmus Josephus","Bincken, Guilielmus Josephus"
a::06.8289,"Prévost, Fleury","Prévost, Fleury","Prévost, Fleury"
a::06.8294,"Batman, Jan","Batman, Jan","Batman, Jan"
a::06.8298,"Lintman, Alexander Jansz","Lintman, Alexander Jansz","Lintman, Alexander Jansz"
a::06.8302,"Ghelen, van, Jan III","Ghelen, van, Jan III","Ghelen, van, Jan III"
a::06.8314,"Blanchet, Louis","Blanchet, Louis","Blanchet, Louis"
a::06.8316,"Jode, de, Cornelis","Jode, de, Cornelis","Jode, de, Cornelis"
a::06.8321,"Doesborch, van, Jan","Doesborch, van, Jan","Doesborch, van, Jan"
a::06.8332,"Moretus, Johannes Jakobus [Fictitious printer]","Moretus, Johannes Jakobus [Imprimeur fictif]","Moretus, Johannes Jakobus [Fictieve drukker]"
a::06.8339,"Josset, Élie","Josset, Élie","Josset, Élie"
a::06.8340,Broeders van het Gemene Leven,Frères de la Vie Commune,Broeders van het Gemene Leven
a::06.8341,"Heerstraeten, van der, Egidius","Heerstraeten, van der, Egidius","Heerstraeten, van der, Egidius"
a::06.8342,"Mansion, Colard","Mansion, Colard","Mansion, Colard"
a::06.8345,Imprimerie typographique,Imprimerie typographique,Imprimerie typographique
a::06.8355,"t'Serstevens, Gilles [Widow]","t'Serstevens, Gilles [Veuve]","t'Serstevens, Gilles [Weduwe]"
a::06.8356,"Gheeraerts, Marcus I","Gheeraerts, Marcus I","Gheeraerts, Marcus I"
a::06.8358,"Cock, Symon & Gerardus Nicolaus","Cock, Symon & Gerardus Nicolaus","Cock, Symon & Gerardus Nicolaus"
a::06.8363,"Verhoeven, Adrianus Gaspar","Verhoeven, Adrianus Gaspar","Verhoeven, Adrianus Gaspar"
a::06.8366,"Geerts, Franciscus","Geerts, Franciscus","Geerts, Franciscus"
a::06.8369,"Simon, Guillaume","Simon, Guillaume","Simon, Guillaume"
a::06.8370,Press of friendschip and liberty [Fictitious printer],Presse de l'amitié et de la liberté [Imprimeur fictif],Drukkerij van vriendschap en liberteyt [Fictieve drukker]
a::06.8373,"Fowler, John","Foulerus, Joannes","Foulerus, Joannes"
a::06.8383,"Riethoven, van, Maarten","Riethoven, van, Maarten","Riethoven, van, Maarten"
a::06.8384,"Bathenius, Jacobus","Bathenius, Jacobus","Bathenius, Jacobus"
a::06.8390,"Rekenaere, de, Cornelis","Rekenaere, de, Cornelis","Rekenaere, de, Cornelis"
a::06.8391,"Verbuere, Jan","Verbuere, Jan","Verbuere, Jan"
a::06.8399,"Walle, vande, Leonard","Walle, vande, Leonard","Walle, vande, Leonard"
a::06.8400,"Thompson, John","Thompson, John","Thompson, John"
a::06.8404,"Swertkens, Pieter Pietersz","Swertkens, Pieter Pietersz","Swertkens, Pieter Pietersz"
a::06.8414,"Desprez, Guillaume I","Desprez, Guillaume I","Desprez, Guillaume I"
a::06.8416,"Trognesius, Joannes","Trognesius, Joannes","Trognesius, Joannes"
a::06.8420,"Slegers, J. [Widow] [Fictitious printer]","Slegers, J. [Veuve] [Imprimeur fictif]","Slegers, J. [Weduwe] [Fictieve drukker]"
a::06.8421,"Campen, van, Isaac","Campen, van, Isaac","Campen, van, Isaac"
a::06.8441,"Outaerde, Nicolaus & Pieter [Fictitious printer]","Outaerde, Nicolaus & Pieter [Imprimeur fictif]","Outaerde, Nicolaus & Pieter [Fictitious printer]"
a::06.8448,"Ghent, Royal Academy","Gand, Académie royale","Gent, Koninklijke Academie"
a::06.8453,"Fleysben, Gaspar [Fictitious printer]","Fleysben, Gaspar [Imprimeur fictif]","Fleysben, Gaspar [Fictieve drukker]"
a::06.8459,"Grave, de, Joannes","Grave, de, Joannes","Grave, de, Joannes"
a::06.8460,"Rescius, Rutgerus","Rescius, Rutgerus","Rescius, Rutgerus"
a::06.8461,"Snouckaert van Schauwenburg, Willem","Snouckaert van Schauwenburg, Willem","Snouckaert van Schauwenburg, Willem"
a::06.8462,"Duchesne, Nicolas-Bonaventure [Widow]","Duchesne, Nicolas-Bonaventure [Veuve]","Duchesne, Nicolas-Bonaventure [Weduwe]"
a::06.8463,"Loeffs de Driel, Rodolphus","Loeffs de Driel, Rodolphus","Loeffs de Driel, Rodolphus"
a::06.8464,"Veldener, Johan","Veldener, Johan","Veldener, Johan"
a::06.8465,"Grieck, de, Petrus Josephus","Grieck, de, Petrus Josephus","Grieck, de, Petrus Josephus"
a::06.8468,"Caju, du, Antonius Josephus [Widow]","Caju, du, Antonius Josephus [Veuve]","Caju, du, Antonius Josephus [Weduwe]"
a::06.8474,"Gosin, de, Hieronymus [Widow]","Gosin, de, Hieronymus [Veuve]","Gosin, de, Hieronymus [Weduwe]"
a::06.8476,"Roux, le, Nicolas","Roux, le, Nicolas","Roux, le, Nicolas"
a::06.8480,"Huyssens, François","Huyssens, François","Huyssens, Franciscus"
a::06.8491,"Bruges, chamber of rhetoric of the Holy Ghost","Bruges, chambre de rhétorique du Saint-Esprit","Brugge, rederijkerskamer de Heilige Geest"
a::06.8493,"Hermanville, d'","Hermanville, d'","Hermanville, d'"
a::06.8508,"Teniers, Abraham [Widow]","Teniers, Abraham [Veuve]","Teniers, Abraham [Weduwe]"
a::06.8509,"Curti, Antonio","Curti, Antonio","Curti, Antonio"
a::06.8526,"Looze, de, G.J.","Looze, de, G.J.","Looze, de, G.J."
a::06.8527,Mahy,Mahy,Mahy
a::06.8528,Snoeck,Snoeck,Snoeck
a::06.8529,"Green, Pierre","Green, Pierre","Green, Pierre"
a::06.8530,"t'Sas, N.J.","t'Sas, N.J.","t'Sas, N.J."
a::06.8531,"Arents, E.","Arents, E.","Arents, E."
a::06.8533,Cammaert,Cammaert,Cammaert
a::06.8534,Krafft,Krafft,Krafft
a::06.8535,Frederickx,Frederickx,Frederickx
a::06.8536,"Camp, van, Louïs","Camp, van, Louïs","Camp, van, Louïs"
a::06.8537,Wannaert,Wannaert,Wannaert
a::06.8538,"Yeseweert, Pierre","Yeseweert, Pierre","Yeseweert, Pierre"
a::06.8539,"Beeman, Johan Daniel","Beeman, Johan Daniel","Beeman, Johan Daniel"
a::06.8540,"Meere, de","Meere, de","Meere, de"
a::06.8541,"Vis, de","Vis, de","Vis, de"
a::06.8542,"Eynbouts, Theodore","Eynbouts, Theodore","Eynbouts, Theodore"
a::06.8543,"Metternich, Franz Wilhelm","Metternich, Franz Wilhelm","Metternich, Franz Wilhelm"
a::06.8544,"Roy, de, F.","Roy, de, F.","Roy, de, F."
a::06.8545,Deflinne,Deflinne,Deflinne
a::06.8552,"Elzevier, Daniel [Heirs]","Elzevier, Daniel [Héritiers]","Elzevier, Daniël [Erfgenamen]"
a::06.8553,"Bats, de, Imbert","Bats, de, Imbert","Bats, de, Imbert"
a::06.8554,"Lemmens, Antonius","Lemmens, Antonius","Lemmens, Antonius"
a::06.8559,"Bruers, Michiel","Bruers, Michiel","Bruers, Michiel"
a::06.8566,"Scheffers, Jacobus","Scheffers, Jacobus","Scheffers, Jacobus"
